id,text,isFinal,hit,mergeParent,image_idAll (17),Classification,precision,recall01,recall02
73,how is the weather,TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"['Caltech101/airplane/image_0060.jpg', 'Caltech101/airplane/image_0062.jpg', 'Caltech101/airplane/image_0071.jpg']",2,TRUE,25,19
76,what direction is the nose of the plane pointing to,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"['Caltech101/airplane/image_0045.jpg', 'Caltech101/airplane/image_0048.jpg', 'Caltech101/airplane/image_0103.jpg']",1,TRUE,26,20
77,what is the weather like outside,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"['Caltech101/airplane/image_0045.jpg', 'Caltech101/airplane/image_0048.jpg', 'Caltech101/airplane/image_0103.jpg']",2,TRUE,27,20
78,what condition are the planes in,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"['Caltech101/airplane/image_0045.jpg', 'Caltech101/airplane/image_0048.jpg', 'Caltech101/airplane/image_0103.jpg']",3,FALSE,27,20
85,how many white stripes,TRUE,shivangi__48f7d7d33fd24886bf883,0,"['Caltech101/airplane/image_0051.jpg', 'Caltech101/airplane/image_0069.jpg', 'Caltech101/airplane/image_0087.jpg']",3,FALSE,27,20
86,where is the airplane facing,TRUE,shivangi__48f7d7d33fd24886bf883,0,"['Caltech101/airplane/image_0051.jpg', 'Caltech101/airplane/image_0069.jpg', 'Caltech101/airplane/image_0087.jpg']",1,TRUE,28,21
87,what is under the airplane,TRUE,shivangi__48f7d7d33fd24886bf883,0,"['Caltech101/airplane/image_0074.jpg', 'Caltech101/airplane/image_0092.jpg', 'Caltech101/airplane/image_0101.jpg']",1,TRUE,29,22
88,what are the common color of the airplane,TRUE,shivangi__48f7d7d33fd24886bf883,0,"['Caltech101/airplane/image_0074.jpg', 'Caltech101/airplane/image_0092.jpg', 'Caltech101/airplane/image_0101.jpg']",1,TRUE,30,23
89,what is the common part of the background,TRUE,shivangi__48f7d7d33fd24886bf883,0,"['Caltech101/airplane/image_0102.jpg', 'Caltech101/airplane/image_0107.jpg', 'Caltech101/airplane/image_0117.jpg']",2,TRUE,31,23
90,what is the common color among the backgrounds,TRUE,shivangi__48f7d7d33fd24886bf883,0,"['Caltech101/airplane/image_0102.jpg', 'Caltech101/airplane/image_0107.jpg', 'Caltech101/airplane/image_0117.jpg']",2,TRUE,32,23
93,where are the airplanes,TRUE,ning__5cee8a509d0c4a8788a364eaf,0,"['Caltech101/airplane/image_0005.jpg', 'Caltech101/airplane/image_0075.jpg', 'Caltech101/airplane/image_0113.jpg']",1,TRUE,33,24
94,what are the size of the airplanes,TRUE,ning__5cee8a509d0c4a8788a364eaf,0,"['Caltech101/airplane/image_0005.jpg', 'Caltech101/airplane/image_0075.jpg', 'Caltech101/airplane/image_0113.jpg']",3,FALSE,33,24
95,what is the kind of the airplanes,TRUE,ning__5cee8a509d0c4a8788a364eaf,0,"['Caltech101/airplane/image_0005.jpg', 'Caltech101/airplane/image_0075.jpg', 'Caltech101/airplane/image_0113.jpg']",1,TRUE,34,25
