id,text,isFinal,hit,mergeParent,image_idAll,classification,precision,recall01,recall02
50,how many objects are in one image,TRUE,ashleykim__567bb4d7aaa847c1a3d9,0,"[7, 20, 25]",3,FALSE,26,16
61,what airline do the planes belong to?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"[18, 19, 27]",2,TRUE,27,16
62,where are the planes located?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"[18, 19, 27]",1,TRUE,28,17
63,what direction are the planes facing?,TRUE,CorgiOverlord__e05e411f84774ff5,0,"[18, 19, 27]",1,TRUE,29,18
69,where is the plane facing (left or right),TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"[15, 26, 13]",1,TRUE,30,19
70,what is the major color of the plane,TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"[15, 26, 13]",1,TRUE,31,20
71,where in the picture is the plane,TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"[15, 26, 13]",3,FALSE,31,20
74,where is the name of the airline,TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"[39, 41, 44]",3,FALSE,31,20
75,what do you see in the background,TRUE,jang88__cdfa8d8a80584fcb9bb7076,0,"[39, 41, 44]",2,TRUE,32,20
79,what direction are the planes facing,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"[61, 48, 49]",1,TRUE,33,21
80,where are the planes,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"[61, 48, 49]",1,TRUE,34,22
81,where are the planes,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"[61, 48, 49]",1,TRUE,35,23
82,what direction are the planes facing,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"[67, 71, 72]",1,TRUE,36,24
83,what is the weather like,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"[67, 71, 72]",2,TRUE,37,24
84,where are the planes located,TRUE,rzhu45__4d8f5b03e7c243719120f17,0,"[67, 71, 72]",1,TRUE,38,25
91,where is the wheel,TRUE,liujunzhe123__9b009edd40304588a,0,"[38, 60, 70]",3,FALSE,38,25
92,what is the moving status of the objects,TRUE,liujunzhe123__9b009edd40304588a,0,"[38, 60, 70]",2,TRUE,39,25
96,where are they,TRUE,ning__5cee8a509d0c4a8788a364eaf,0,"[2, 3, 4]",2,TRUE,40,25
97,what is the weather,TRUE,ning__5cee8a509d0c4a8788a364eaf,0,"[2, 3, 4]",2,TRUE,41,25
98,what is the color,TRUE,ning__5cee8a509d0c4a8788a364eaf,0,"[2, 3, 4]",1,TRUE,42,26
99,what is the weathter,TRUE,liujunzhe123__9b009edd40304588a,0,"[59, 21, 58]",2,TRUE,43,26
100,where is the bushes,TRUE,liujunzhe123__9b009edd40304588a,0,"[59, 21, 58]",2,TRUE,44,26
